account,played,winnings,winnings even money,average bet size
0x7e9a10c782bbdd671b953c5716614511516afaff,622,-4.153425686417792,2.2857609880100824,0.042056867777441366
0x34f3d8a5c1bb387f8ed3675c8555277f29607f02,6,-4.080903485122127,-4.427454223664099,0.8033333333333333
0x582dba86431b46a3900a990b159cb579c1f7ead7,58,-4.06660754686824,-7.555423228754132,0.856896551724138
0x5ca081ca2142913db11acb85b97a112c410b10a0,550,-4.062672308036521,-2.129464384137834,0.3259454545454567
0x77dd1decfd78f947914f3d96822cdccbf96098d6,6,-4.039629505618096,-2.679259011236192,0.9500000000000001
0x8b5f17f563cc28825cf7449d57912382ceb62a82,384,-3.9758585563482423,-17.33909549026004,0.22401836003045236
0x3378ed4a69cc97e27954ac4cbfbfe080f332c790,587,-3.9167670509762242,-0.004748478059337202,0.24347096383662153
0x85f46bd3baf6ee94e2397314b700b0944a43d119,514,-3.9108627311152375,-26.932259336889373,0.23999558723374334
0x65f3f0b3c19c54f3fe8dc87e75de087735f98901,51,-3.783617664978674,-18.242922795855172,0.18605169121727377
0xe28e39facac16dee56d80784d89c41bd2a37303e,39,-3.765431144138302,0.5924059392263381,0.9708279174612002
0xf6dcd3c5f549dbfab38459234f16a532ea49e0cf,39,-3.7552385943000526,-4.273158030756955,0.3804595858916654
0x8845180f14356d8866d4b650f16fb2b9019f9d34,240,-3.7123949678055155,-1.986694064250953,0.4001406593368151
0x44b870b327f5be9f1d8fe349161cffad19043978,30,-3.7089963506200783,-6.05250112449993,0.3337355600145166
0x84945d3edc30bc75f8d12c162dacc188b7784a24,502,-3.6947952860340707,-20.52203454990009,0.1252256024746159
0xc351903eba4dc6c40c2e71270edd845888ad667b,27,-3.6762919306935573,-0.3083490345392892,0.3717102891756652
0x0d9d1e26e68292de2718ee77e28c8240bee5709f,253,-3.6659933520547288,-19.794832301188084,0.3740084035857785
0xa41676d88ddecfa20222e8c53304fe2f3a9eea5d,142,-3.6136217611188677,-15.55329290207531,0.15935863181521231
0xd8b53f94144b5bad90b156ecca28422c26c08e6c,613,-3.580476042072923,-13.081749327753233,0.16859526916802617
0xe4fbc5df725c98d57ec8392b9bf3810592b8ecf8,28,-3.5802871534327387,-1.7021390684336692,1.1477795212534154
0x51a5ca27453b55b8d6e216e94da22cb1f7b30dc5,21,-3.579945013698348,-4.019985845031453,0.6850986853895821
0xad4f3065d66a531996215b743e02aea2347c39fa,139,-3.574557077373075,-0.715194062865661,0.3113124144502405
0xfb07bbbaa711bcd7754d52a6cfe63122367b239b,278,-3.56349439205935,-38.971625677363996,0.0749936643734575
0x3c191bfc5bad0b1dfacf41b05de1aad2348bcde0,31,-3.559783258822084,-4.48171409847403,0.8372753433938463
